PhotoduplicationDate (Day-Month-Year),RepoCode,ActivityName,ActivityDescription,BillingType,Quantity,UnitFee,PaymentAmount,PaymentMethod,PaymentReference,TransactionNumber,FY
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),90,3,377.25,Billing Account,110.01917.7067.431206.504013.0000.00000,611001,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),91,3,568.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611002,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),99,3,502.92,Billing Account,110.01917.7067.431206.504013.0000.00000,611143,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),99,3,506.22,Billing Account,110.01917.7067.431206.504013.0000.00000,611146,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),102,3,534.75,Billing Account,110.01917.7067.431206.504013.0000.00000,610997,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),102,3,625.68,Billing Account,110.01917.7067.431206.504013.0000.00000,611139,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),104,3,528.75,Billing Account,110.01917.7067.431206.504013.0000.00000,610998,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),108,3,616.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611003,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),126,3,648.36,Billing Account,110.01917.7067.431206.504013.0000.00000,610995,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),143,3,741.54,Billing Account,110.01917.7067.431206.504013.0000.00000,611135,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),257,3,1027.26,Billing Account,110.01917.7067.431206.504013.0000.00000,611145,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,135,Billing Account,110.01917.7067.431206.504013.0000.00000,611149,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,183,Billing Account,110.01917.7067.431206.504013.0000.00000,610996,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,211.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611151,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,216,Billing Account,110.01917.7067.431206.504013.0000.00000,611150,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,226.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611148,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,247.23,Billing Account,110.01917.7067.431206.504013.0000.00000,611138,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,377.25,Billing Account,110.01917.7067.431206.504013.0000.00000,611001,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,500.13,Billing Account,110.01917.7067.431206.504013.0000.00000,610994,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,502.92,Billing Account,110.01917.7067.431206.504013.0000.00000,611143,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,506.22,Billing Account,110.01917.7067.431206.504013.0000.00000,611146,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,528.75,Billing Account,110.01917.7067.431206.504013.0000.00000,610998,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,534.75,Billing Account,110.01917.7067.431206.504013.0000.00000,610997,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,568.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611002,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,597,Billing Account,110.01917.7067.431206.504013.0000.00000,611000,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,616.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611003,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,625.68,Billing Account,110.01917.7067.431206.504013.0000.00000,611139,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,648.36,Billing Account,110.01917.7067.431206.504013.0000.00000,610995,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,705,Billing Account,110.01917.7067.431206.504013.0000.00000,611147,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,720.75,Billing Account,110.01917.7067.431206.504013.0000.00000,611004,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,741.54,Billing Account,110.01917.7067.431206.504013.0000.00000,611135,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,1027.26,Billing Account,110.01917.7067.431206.504013.0000.00000,611145,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,1220,Billing Account,110.01917.7067.431206.504013.0000.00000,597062,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,1745,Billing Account,110.01917.7067.431206.504013.0000.00000,597063,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Digital Capture (loose/19x25.5""-34x45"")",38,25,1220,Billing Account,110.01917.7067.431206.504013.0000.00000,597062,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Digital Capture (loose/19x25.5""-34x45"")",53,25,1745,Billing Account,110.01917.7067.431206.504013.0000.00000,597063,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Digital Image Processing: Stitching,18,15,1220,Billing Account,110.01917.7067.431206.504013.0000.00000,597062,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Digital Image Processing: Stitching,28,15,1745,Billing Account,110.01917.7067.431206.504013.0000.00000,597063,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",88,0.75,183,Billing Account,110.01917.7067.431206.504013.0000.00000,610996,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",104,0.75,135,Billing Account,110.01917.7067.431206.504013.0000.00000,611149,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",122,0.75,211.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611151,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",127,0.75,247.23,Billing Account,110.01917.7067.431206.504013.0000.00000,611138,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",143,0.75,377.25,Billing Account,110.01917.7067.431206.504013.0000.00000,611001,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",156,0.75,216,Billing Account,110.01917.7067.431206.504013.0000.00000,611150,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",174,0.75,226.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611148,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",264,0.75,502.92,Billing Account,110.01917.7067.431206.504013.0000.00000,611143,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",269,0.75,506.22,Billing Account,110.01917.7067.431206.504013.0000.00000,611146,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",289,0.75,528.75,Billing Account,110.01917.7067.431206.504013.0000.00000,610998,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",305,0.75,534.75,Billing Account,110.01917.7067.431206.504013.0000.00000,610997,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",307,0.75,500.13,Billing Account,110.01917.7067.431206.504013.0000.00000,610994,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",329,0.75,1027.26,Billing Account,110.01917.7067.431206.504013.0000.00000,611145,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",347,0.75,648.36,Billing Account,110.01917.7067.431206.504013.0000.00000,610995,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",390,0.75,616.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611003,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",394,0.75,568.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611002,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",402,0.75,741.54,Billing Account,110.01917.7067.431206.504013.0000.00000,611135,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",410,0.75,625.68,Billing Account,110.01917.7067.431206.504013.0000.00000,611139,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",476,0.75,597,Billing Account,110.01917.7067.431206.504013.0000.00000,611000,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",628,0.75,705,Billing Account,110.01917.7067.431206.504013.0000.00000,611147,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",653,0.75,720.75,Billing Account,110.01917.7067.431206.504013.0000.00000,611004,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,66,0.03,247.23,Billing Account,110.01917.7067.431206.504013.0000.00000,611138,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,249,0.03,506.22,Billing Account,110.01917.7067.431206.504013.0000.00000,611146,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,264,0.03,502.92,Billing Account,110.01917.7067.431206.504013.0000.00000,611143,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,296,0.03,500.13,Billing Account,110.01917.7067.431206.504013.0000.00000,610994,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,317,0.03,1027.26,Billing Account,110.01917.7067.431206.504013.0000.00000,611145,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,337,0.03,648.36,Billing Account,110.01917.7067.431206.504013.0000.00000,610995,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,368,0.03,741.54,Billing Account,110.01917.7067.431206.504013.0000.00000,611135,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,406,0.03,625.68,Billing Account,110.01917.7067.431206.504013.0000.00000,611139,2022
2021-07-06,PIRC,PIRC Digitization,"DIRECT - Ongoing - Drawings, blueprints, plans (Work for studio and D-20)",Deposit to Digital Repository Service,1,0,4975,Billing Account,610.56733.7067.000001.781762.0000.00000,603546,2022
2021-07-06,PIRC,PIRC Digitization,"DIRECT - Ongoing - Drawings, blueprints, plans (Work for studio and D-20)","Digital Capture (loose/19x25.5""-34x45"")",137,25,3425,Billing Account,610.56733.7067.000001.781762.0000.00000,609447,2022
2021-07-06,PIRC,PIRC Digitization,"DIRECT - Ongoing - Drawings, blueprints, plans (Work for studio and D-20)","Digital Capture (loose/19x25.5""-34x45"")",199,25,4975,Billing Account,610.56733.7067.000001.781762.0000.00000,603546,2022
2021-07-06,SCH,Alice Paul,DIRECT - Alice Paul Collection,Customized Structural Metadata (simple object),9,3,972.84,Billing Account,285.25200.7067.473405.580013.0000.00000,610290,2022
2021-07-06,SCH,Alice Paul,DIRECT - Alice Paul Collection,Customized Structural Metadata (simple object),14,3,760.38,Billing Account,285.25200.7067.473405.580013.0000.00000,610804,2022
2021-07-06,SCH,Alice Paul,DIRECT - Alice Paul Collection,Deposit to Digital Repository Service,1,0,760.38,Billing Account,285.25200.7067.473405.580013.0000.00000,610804,2022
2021-07-06,SCH,Alice Paul,DIRECT - Alice Paul Collection,Deposit to Digital Repository Service,1,0,972.84,Billing Account,285.25200.7067.473405.580013.0000.00000,610290,2022
2021-07-06,SCH,Alice Paul,DIRECT - Alice Paul Collection,Digital Capture (oversize/foldout),6,15,972.84,Billing Account,285.25200.7067.473405.580013.0000.00000,610290,2022
2021-07-06,SCH,Alice Paul,DIRECT - Alice Paul Collection,"Document Scanning (180-deg/up to 23x15"")",921,0.75,760.38,Billing Account,285.25200.7067.473405.580013.0000.00000,610804,2022
2021-07-06,SCH,Alice Paul,DIRECT - Alice Paul Collection,"Document Scanning (180-deg/up to 23x15"")",1097,0.75,972.84,Billing Account,285.25200.7067.473405.580013.0000.00000,610290,2022
2021-07-06,SCH,Alice Paul,DIRECT - Alice Paul Collection,OCR,921,0.03,760.38,Billing Account,285.25200.7067.473405.580013.0000.00000,610804,2022
2021-07-06,SCH,Alice Paul,DIRECT - Alice Paul Collection,OCR,1103,0.03,972.84,Billing Account,285.25200.7067.473405.580013.0000.00000,610290,2022
2021-07-06,SCH,Ongoing manuscript digitization,DIRECT - Ongoing - Small collections,Customized Structural Metadata (simple object),14,3,710.58,Billing Account,285.25200.7067.473405.580013.0000.00000,605996,2022
2021-07-06,SCH,Ongoing manuscript digitization,DIRECT - Ongoing - Small collections,Deposit to Digital Repository Service,1,0,710.58,Billing Account,285.25200.7067.473405.580013.0000.00000,605996,2022
2021-07-06,SCH,Ongoing manuscript digitization,DIRECT - Ongoing - Small collections,"Document Scanning (180-deg/up to 23x15"")",884,0.75,710.58,Billing Account,285.25200.7067.473405.580013.0000.00000,605996,2022
2021-07-06,SCH,Ongoing manuscript digitization,DIRECT - Ongoing - Small collections,OCR,186,0.03,710.58,Billing Account,285.25200.7067.473405.580013.0000.00000,605996,2022
2021-07-06,SCH,Suffrage,DIRECT - Women's Suffrage collection,Customized Structural Metadata (simple object),1,3,1455,Billing Account,285.25200.7067.473405.580013.0000.00000,610476,2022
2021-07-06,SCH,Suffrage,DIRECT - Women's Suffrage collection,Customized Structural Metadata (simple object),23,3,542.94,Billing Account,285.25200.7067.473405.580013.0000.00000,611537,2022
2021-07-06,SCH,Suffrage,DIRECT - Women's Suffrage collection,Customized Structural Metadata (simple object),29,3,616.26,Billing Account,285.25200.7067.473405.580013.0000.00000,611538,2022
2021-07-06,SCH,Suffrage,DIRECT - Women's Suffrage collection,Deposit to Digital Repository Service,1,0,542.94,Billing Account,285.25200.7067.473405.580013.0000.00000,611537,2022
2021-07-06,SCH,Suffrage,DIRECT - Women's Suffrage collection,Deposit to Digital Repository Service,1,0,616.26,Billing Account,285.25200.7067.473405.580013.0000.00000,611538,2022
2021-07-06,SCH,Suffrage,DIRECT - Women's Suffrage collection,Deposit to Digital Repository Service,1,0,1128.5,Billing Account,285.25200.7067.473405.580013.0000.00000,610477,2022
2021-07-06,SCH,Suffrage,DIRECT - Women's Suffrage collection,Deposit to Digital Repository Service,1,0,1455,Billing Account,285.25200.7067.473405.580013.0000.00000,610476,2022
2021-07-06,SCH,Suffrage,DIRECT - Women's Suffrage collection,"Digital Capture (bound/up to 15x23x4"", singleshot)",61,3.5,1128.5,Billing Account,285.25200.7067.473405.580013.0000.00000,610477,2022
2021-07-06,SCH,Suffrage,DIRECT - Women's Suffrage collection,"Digital Capture (bound/up to 19x25.5"")",150,6,1128.5,Billing Account,285.25200.7067.473405.580013.0000.00000,610477,2022
2021-07-06,SCH,Suffrage,DIRECT - Women's Suffrage collection,"Digital Capture (bound/up to 19x25.5"")",182,6,1455,Billing Account,285.25200.7067.473405.580013.0000.00000,610476,2022
2021-07-06,SCH,Suffrage,DIRECT - Women's Suffrage collection,Digital Image Processing: Stitching,1,15,1128.5,Billing Account,285.25200.7067.473405.580013.0000.00000,610477,2022
2021-07-06,SCH,Suffrage,DIRECT - Women's Suffrage collection,Digital Image Processing: Stitching,24,15,1455,Billing Account,285.25200.7067.473405.580013.0000.00000,610476,2022
2021-07-06,SCH,Suffrage,DIRECT - Women's Suffrage collection,"Document Scanning (180-deg/up to 23x15"")",622,0.75,542.94,Billing Account,285.25200.7067.473405.580013.0000.00000,611537,2022
2021-07-06,SCH,Suffrage,DIRECT - Women's Suffrage collection,"Document Scanning (180-deg/up to 23x15"")",679,0.75,616.26,Billing Account,285.25200.7067.473405.580013.0000.00000,611538,2022
2021-07-06,SCH,Suffrage,DIRECT - Women's Suffrage collection,OCR,248,0.03,542.94,Billing Account,285.25200.7067.473405.580013.0000.00000,611537,2022
2021-07-06,SCH,Suffrage,DIRECT - Women's Suffrage collection,OCR,667,0.03,616.26,Billing Account,285.25200.7067.473405.580013.0000.00000,611538,2022
2021-07-23,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,3161,0.03,94.83,Billing Account,110.01917.7067.431206.504013.0000.00000,613232,2022
2021-07-29,SCH,Ongoing manuscript digitization,DIRECT - Ongoing - Small collections,Customized Structural Metadata (simple object),3,3,142.38,Billing Account,285.25200.7067.473405.580013.0000.00000,612934,2022
2021-07-29,SCH,Ongoing manuscript digitization,DIRECT - Ongoing - Small collections,Deposit to Digital Repository Service,1,0,142.38,Billing Account,285.25200.7067.473405.580013.0000.00000,612934,2022
2021-07-29,SCH,Ongoing manuscript digitization,DIRECT - Ongoing - Small collections,"Document Scanning (180-deg/up to 23x15"")",171,0.75,142.38,Billing Account,285.25200.7067.473405.580013.0000.00000,612934,2022
2021-07-29,SCH,Ongoing manuscript digitization,DIRECT - Ongoing - Small collections,OCR,171,0.03,142.38,Billing Account,285.25200.7067.473405.580013.0000.00000,612934,2022
2021-07-29,SCH,Suffrage,DIRECT - Women's Suffrage collection,OCR,368,0.03,11.04,Billing Account,285.25200.7067.473405.580013.0000.00000,613606,2022
2021-08-17,SCH,Alice Paul,DIRECT - Alice Paul Collection,Book Scanning (180-deg/up to 23x15x3),1818,0.35,708.84,Billing Account,285.25200.7067.473405.580013.0000.00000,612457,2022
2021-08-17,SCH,Alice Paul,DIRECT - Alice Paul Collection,Customized Structural Metadata (simple object),3,3,147.84,Billing Account,285.25200.7067.473405.580013.0000.00000,612456,2022
2021-08-17,SCH,Alice Paul,DIRECT - Alice Paul Collection,Customized Structural Metadata (simple object),6,3,708.84,Billing Account,285.25200.7067.473405.580013.0000.00000,612457,2022
2021-08-17,SCH,Alice Paul,DIRECT - Alice Paul Collection,Customized Structural Metadata (simple object),10,3,790.5,Billing Account,285.25200.7067.473405.580013.0000.00000,611834,2022
2021-08-17,SCH,Alice Paul,DIRECT - Alice Paul Collection,Deposit to Digital Repository Service,1,0,147.84,Billing Account,285.25200.7067.473405.580013.0000.00000,612456,2022
2021-08-17,SCH,Alice Paul,DIRECT - Alice Paul Collection,Deposit to Digital Repository Service,1,0,708.84,Billing Account,285.25200.7067.473405.580013.0000.00000,612457,2022
2021-08-17,SCH,Alice Paul,DIRECT - Alice Paul Collection,Deposit to Digital Repository Service,1,0,790.5,Billing Account,285.25200.7067.473405.580013.0000.00000,611834,2022
2021-08-17,SCH,Alice Paul,DIRECT - Alice Paul Collection,"Document Scanning (180-deg/up to 23x15"")",178,0.75,147.84,Billing Account,285.25200.7067.473405.580013.0000.00000,612456,2022
2021-08-17,SCH,Alice Paul,DIRECT - Alice Paul Collection,"Document Scanning (180-deg/up to 23x15"")",975,0.75,790.5,Billing Account,285.25200.7067.473405.580013.0000.00000,611834,2022
2021-08-17,SCH,Alice Paul,DIRECT - Alice Paul Collection,OCR,178,0.03,147.84,Billing Account,285.25200.7067.473405.580013.0000.00000,612456,2022
2021-08-17,SCH,Alice Paul,DIRECT - Alice Paul Collection,OCR,975,0.03,790.5,Billing Account,285.25200.7067.473405.580013.0000.00000,611834,2022
2021-08-17,SCH,Alice Paul,DIRECT - Alice Paul Collection,OCR,1818,0.03,708.84,Billing Account,285.25200.7067.473405.580013.0000.00000,612457,2022
2021-08-20,SCH,Alice Paul,DIRECT - Alice Paul Collection,Customized Structural Metadata (simple object),8,3,773.58,Billing Account,285.25200.7067.473405.580013.0000.00000,611832,2022
2021-08-20,SCH,Alice Paul,DIRECT - Alice Paul Collection,Deposit to Digital Repository Service,1,0,773.58,Billing Account,285.25200.7067.473405.580013.0000.00000,611832,2022
2021-08-20,SCH,Alice Paul,DIRECT - Alice Paul Collection,"Document Scanning (180-deg/up to 23x15"")",961,0.75,773.58,Billing Account,285.25200.7067.473405.580013.0000.00000,611832,2022
2021-08-20,SCH,Alice Paul,DIRECT - Alice Paul Collection,OCR,961,0.03,773.58,Billing Account,285.25200.7067.473405.580013.0000.00000,611832,2022
2021-08-30,SCH,Alice Paul,DIRECT - Alice Paul Collection,Customized Structural Metadata (simple object),10,3,931.68,Billing Account,285.25200.7067.473405.580013.0000.00000,611835,2022
