PhotoduplicationDate (Day-Month-Year),RepoCode,ActivityName,ActivityDescription,BillingType,Quantity,UnitFee,PaymentAmount,PaymentMethod,PaymentReference,TransactionNumber,FY
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),90,3,377.25,Billing Account,110.01917.7067.431206.504013.0000.00000,611001,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),91,3,568.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611002,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),99,3,502.92,Billing Account,110.01917.7067.431206.504013.0000.00000,611143,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),99,3,506.22,Billing Account,110.01917.7067.431206.504013.0000.00000,611146,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),102,3,534.75,Billing Account,110.01917.7067.431206.504013.0000.00000,610997,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),102,3,625.68,Billing Account,110.01917.7067.431206.504013.0000.00000,611139,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),104,3,528.75,Billing Account,110.01917.7067.431206.504013.0000.00000,610998,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),108,3,616.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611003,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),126,3,648.36,Billing Account,110.01917.7067.431206.504013.0000.00000,610995,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),143,3,741.54,Billing Account,110.01917.7067.431206.504013.0000.00000,611135,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),257,3,1027.26,Billing Account,110.01917.7067.431206.504013.0000.00000,611145,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,135,Billing Account,110.01917.7067.431206.504013.0000.00000,611149,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,183,Billing Account,110.01917.7067.431206.504013.0000.00000,610996,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,211.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611151,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,216,Billing Account,110.01917.7067.431206.504013.0000.00000,611150,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,226.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611148,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,247.23,Billing Account,110.01917.7067.431206.504013.0000.00000,611138,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,377.25,Billing Account,110.01917.7067.431206.504013.0000.00000,611001,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,500.13,Billing Account,110.01917.7067.431206.504013.0000.00000,610994,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,502.92,Billing Account,110.01917.7067.431206.504013.0000.00000,611143,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,506.22,Billing Account,110.01917.7067.431206.504013.0000.00000,611146,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,528.75,Billing Account,110.01917.7067.431206.504013.0000.00000,610998,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,534.75,Billing Account,110.01917.7067.431206.504013.0000.00000,610997,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,568.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611002,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,597,Billing Account,110.01917.7067.431206.504013.0000.00000,611000,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,616.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611003,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,625.68,Billing Account,110.01917.7067.431206.504013.0000.00000,611139,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,648.36,Billing Account,110.01917.7067.431206.504013.0000.00000,610995,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,705,Billing Account,110.01917.7067.431206.504013.0000.00000,611147,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,720.75,Billing Account,110.01917.7067.431206.504013.0000.00000,611004,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,741.54,Billing Account,110.01917.7067.431206.504013.0000.00000,611135,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,1027.26,Billing Account,110.01917.7067.431206.504013.0000.00000,611145,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,1220,Billing Account,110.01917.7067.431206.504013.0000.00000,597062,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Deposit to Digital Repository Service,1,0,1745,Billing Account,110.01917.7067.431206.504013.0000.00000,597063,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Digital Capture (loose/19x25.5""-34x45"")",38,25,1220,Billing Account,110.01917.7067.431206.504013.0000.00000,597062,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Digital Capture (loose/19x25.5""-34x45"")",53,25,1745,Billing Account,110.01917.7067.431206.504013.0000.00000,597063,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Digital Image Processing: Stitching,18,15,1220,Billing Account,110.01917.7067.431206.504013.0000.00000,597062,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Digital Image Processing: Stitching,28,15,1745,Billing Account,110.01917.7067.431206.504013.0000.00000,597063,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",88,0.75,183,Billing Account,110.01917.7067.431206.504013.0000.00000,610996,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",104,0.75,135,Billing Account,110.01917.7067.431206.504013.0000.00000,611149,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",122,0.75,211.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611151,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",127,0.75,247.23,Billing Account,110.01917.7067.431206.504013.0000.00000,611138,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",143,0.75,377.25,Billing Account,110.01917.7067.431206.504013.0000.00000,611001,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",156,0.75,216,Billing Account,110.01917.7067.431206.504013.0000.00000,611150,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",174,0.75,226.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611148,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",264,0.75,502.92,Billing Account,110.01917.7067.431206.504013.0000.00000,611143,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",269,0.75,506.22,Billing Account,110.01917.7067.431206.504013.0000.00000,611146,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",289,0.75,528.75,Billing Account,110.01917.7067.431206.504013.0000.00000,610998,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",305,0.75,534.75,Billing Account,110.01917.7067.431206.504013.0000.00000,610997,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",307,0.75,500.13,Billing Account,110.01917.7067.431206.504013.0000.00000,610994,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",329,0.75,1027.26,Billing Account,110.01917.7067.431206.504013.0000.00000,611145,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",347,0.75,648.36,Billing Account,110.01917.7067.431206.504013.0000.00000,610995,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",390,0.75,616.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611003,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",394,0.75,568.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611002,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",402,0.75,741.54,Billing Account,110.01917.7067.431206.504013.0000.00000,611135,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",410,0.75,625.68,Billing Account,110.01917.7067.431206.504013.0000.00000,611139,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",476,0.75,597,Billing Account,110.01917.7067.431206.504013.0000.00000,611000,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",628,0.75,705,Billing Account,110.01917.7067.431206.504013.0000.00000,611147,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,"Document Scanning (180-deg/up to 23x15"")",653,0.75,720.75,Billing Account,110.01917.7067.431206.504013.0000.00000,611004,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,66,0.03,247.23,Billing Account,110.01917.7067.431206.504013.0000.00000,611138,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,249,0.03,506.22,Billing Account,110.01917.7067.431206.504013.0000.00000,611146,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,264,0.03,502.92,Billing Account,110.01917.7067.431206.504013.0000.00000,611143,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,296,0.03,500.13,Billing Account,110.01917.7067.431206.504013.0000.00000,610994,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,317,0.03,1027.26,Billing Account,110.01917.7067.431206.504013.0000.00000,611145,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,337,0.03,648.36,Billing Account,110.01917.7067.431206.504013.0000.00000,610995,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,368,0.03,741.54,Billing Account,110.01917.7067.431206.504013.0000.00000,611135,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,406,0.03,625.68,Billing Account,110.01917.7067.431206.504013.0000.00000,611139,2022
2021-07-06,PIRC,PIRC Digitization,"DIRECT - Ongoing - Drawings, blueprints, plans (Work for studio and D-20)",Deposit to Digital Repository Service,1,0,4975,Billing Account,610.56733.7067.000001.781762.0000.00000,603546,2022
2021-07-06,PIRC,PIRC Digitization,"DIRECT - Ongoing - Drawings, blueprints, plans (Work for studio and D-20)","Digital Capture (loose/19x25.5""-34x45"")",137,25,3425,Billing Account,610.56733.7067.000001.781762.0000.00000,609447,2022
2021-07-06,PIRC,PIRC Digitization,"DIRECT - Ongoing - Drawings, blueprints, plans (Work for studio and D-20)","Digital Capture (loose/19x25.5""-34x45"")",199,25,4975,Billing Account,610.56733.7067.000001.781762.0000.00000,603546,2022
2021-07-23,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,OCR,3161,0.03,94.83,Billing Account,110.01917.7067.431206.504013.0000.00000,613232,2022
2022-01-13,PIRC,PIRC Deeds,DIRECT - Ongoing - Deeds and other documents,Customized Structural Metadata (simple object),150,1,450,Billing Account,610.56733.7067.000001.781762.0000.00000,620325,2022
2022-01-13,PIRC,PIRC Deeds,DIRECT - Ongoing - Deeds and other documents,Deposit to Digital Repository Service,1,0,450,Billing Account,610.56733.7067.000001.781762.0000.00000,620325,2022
2022-01-13,PIRC,PIRC Deeds,DIRECT - Ongoing - Deeds and other documents,"Document Scanning (180-deg/up to 23x15"")",400,0.75,450,Billing Account,610.56733.7067.000001.781762.0000.00000,620325,2022
2022-01-13,PIRC,PIRC Deeds,DIRECT - Ongoing - Deeds and other documents,"PDF document assembly, color or bitonal",150,0,450,Billing Account,610.56733.7067.000001.781762.0000.00000,620325,2022
2022-01-13,PIRC,PIRC Digitization,"DIRECT - Ongoing - Drawings, blueprints, plans (Work for studio and D-20)",Deposit to Digital Repository Service,1,0,3120,Billing Account,610.56733.7067.000001.781762.0000.00000,620290,2022
2022-01-13,PIRC,PIRC Digitization,"DIRECT - Ongoing - Drawings, blueprints, plans (Work for studio and D-20)","Digital Capture (loose/19x25.5""-34x45"")",120,25,3120,Billing Account,610.56733.7067.000001.781762.0000.00000,620290,2022
2022-01-13,PIRC,PIRC Digitization,"DIRECT - Ongoing - Drawings, blueprints, plans (Work for studio and D-20)","Digital Capture (loose/19x25.5""-34x45"")",138,25,3588,Billing Account,610.56733.7067.000001.781762.0000.00000,617208,2022
2022-01-13,PIRC,PIRC Digitization,"DIRECT - Ongoing - Drawings, blueprints, plans (Work for studio and D-20)","PDF document assembly, color or bitonal",120,1,3120,Billing Account,610.56733.7067.000001.781762.0000.00000,620290,2022
2022-01-13,PIRC,PIRC Digitization,"DIRECT - Ongoing - Drawings, blueprints, plans (Work for studio and D-20)","PDF document assembly, color or bitonal",138,1,3588,Billing Account,610.56733.7067.000001.781762.0000.00000,617208,2022
2022-03-04,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,AutoGenerated Structural Metadata,15,0,231.48,MOU,NA,636835,2022
2022-03-04,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,Deposit to Digital Repository Service,1,0,231.48,MOU,NA,636835,2022
2022-03-04,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,"Document Scanning (sheet fed/up to 11x17""/color)",1286,0.15,231.48,MOU,NA,636835,2022
2022-03-04,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,OCR,1286,0.03,231.48,MOU,NA,636835,2022
2022-03-11,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,AutoGenerated Structural Metadata,8,0,131.4,MOU,NA,636840,2022
2022-03-11,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,AutoGenerated Structural Metadata,14,0,239.4,MOU,NA,636839,2022
2022-03-11,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,Deposit to Digital Repository Service,1,0,131.4,MOU,NA,636840,2022
2022-03-11,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,Deposit to Digital Repository Service,1,0,239.4,MOU,NA,636839,2022
2022-03-11,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,"Document Scanning (sheet fed/up to 11x17""/color)",730,0.15,131.4,MOU,NA,636840,2022
2022-03-11,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,"Document Scanning (sheet fed/up to 11x17""/color)",1330,0.15,239.4,MOU,NA,636839,2022
2022-03-11,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,OCR,730,0.03,131.4,MOU,NA,636840,2022
2022-03-11,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,OCR,1330,0.03,239.4,MOU,NA,636839,2022
2022-03-11,WOL,Special Collections Digitization,ALLOCATION - Ongoing - Select items from special collections,AutoGenerated Structural Metadata,1,0,540,MOU,NA,632595,2022
2022-03-11,WOL,Special Collections Digitization,ALLOCATION - Ongoing - Select items from special collections,Deposit to Digital Repository Service,1,0,540,MOU,NA,632595,2022
2022-03-11,WOL,Special Collections Digitization,ALLOCATION - Ongoing - Select items from special collections,"Digital Capture (bound/up to 19x25.5"")",90,6,540,MOU,NA,632595,2022
2022-03-16,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,AutoGenerated Structural Metadata,15,0,302.76,MOU,NA,636842,2022
2022-03-16,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,Deposit to Digital Repository Service,1,0,302.76,MOU,NA,636842,2022
2022-03-16,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,"Document Scanning (sheet fed/up to 11x17""/color)",1682,0.15,302.76,MOU,NA,636842,2022
2022-03-16,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,OCR,1682,0.03,302.76,MOU,NA,636842,2022
2022-03-23,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,AutoGenerated Structural Metadata,7,0,379.8,MOU,NA,636845,2022
2022-03-23,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,AutoGenerated Structural Metadata,9,0,431.28,MOU,NA,636843,2022
2022-03-23,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,Deposit to Digital Repository Service,1,0,379.8,MOU,NA,636845,2022
2022-03-23,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,Deposit to Digital Repository Service,1,0,431.28,MOU,NA,636843,2022
2022-03-23,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,"Document Scanning (sheet fed/up to 11x17""/color)",2110,0.15,379.8,MOU,NA,636845,2022
2022-03-23,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,"Document Scanning (sheet fed/up to 11x17""/color)",2396,0.15,431.28,MOU,NA,636843,2022
2022-03-23,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,OCR,2110,0.03,379.8,MOU,NA,636845,2022
2022-03-23,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,OCR,2396,0.03,431.28,MOU,NA,636843,2022
2022-04-01,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,AutoGenerated Structural Metadata,4,0,353.16,MOU,NA,636849,2022
2022-04-01,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,AutoGenerated Structural Metadata,4,0,356.4,MOU,NA,636847,2022
2022-04-01,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,AutoGenerated Structural Metadata,5,0,402.48,MOU,NA,636848,2022
2022-04-01,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,AutoGenerated Structural Metadata,9,0,504,MOU,NA,636851,2022
2022-04-01,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,Deposit to Digital Repository Service,1,0,353.16,MOU,NA,636849,2022
2022-04-01,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,Deposit to Digital Repository Service,1,0,356.4,MOU,NA,636847,2022
2022-04-01,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,Deposit to Digital Repository Service,1,0,402.48,MOU,NA,636848,2022
2022-04-01,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,Deposit to Digital Repository Service,1,0,504,MOU,NA,636851,2022
2022-04-01,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,"Document Scanning (sheet fed/up to 11x17""/color)",1962,0.15,353.16,MOU,NA,636849,2022
2022-04-01,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,"Document Scanning (sheet fed/up to 11x17""/color)",1980,0.15,356.4,MOU,NA,636847,2022
2022-04-01,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,"Document Scanning (sheet fed/up to 11x17""/color)",2236,0.15,402.48,MOU,NA,636848,2022
2022-04-01,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,"Document Scanning (sheet fed/up to 11x17""/color)",2800,0.15,504,MOU,NA,636851,2022
2022-04-01,WOL,I.A.U. Telegrams,ALLOCATION - I.A.U. (International Astronomical Union) materials - IBML,OCR,1962,0.03,353.16,MOU,NA,636849,2022
